replicate	genotype	treatment	flat	pot	colony
Bac029	_Col	avrRpm1	flatavrRpm1a1	potavrRpm1a02	4.172077133
Bac029	_Col	avrRpm1	flatavrRpm1a1	potavrRpm1a02	4.752947825
Bac029	_Col	avrRpm1	flatavrRpm1a1	potavrRpm1a04	4.172077133
Bac029	_Col	avrRpm1	flatavrRpm1a1	potavrRpm1a04	4.429641435
Bac029	_Col	avrRpm1	flatavrRpm1a1	potavrRpm1a06	4.451917829
Bac029	_Col	avrRpm1	flatavrRpm1a1	potavrRpm1a06	3.849857838
Bac029	_Col	avrRpm1	flatavrRpm1a1	potavrRpm1a08	4.297015869
Bac029	_Col	avrRpm1	flatavrRpm1a1	potavrRpm1a08	4.368371778
Bac029	dde2	avrRpm1	flatavrRpm1a1	potavrRpm1a02	4.707190335
Bac029	dde2	avrRpm1	flatavrRpm1a1	potavrRpm1a02	4.656037812
Bac029	dde2	avrRpm1	flatavrRpm1a1	potavrRpm1a04	4.752947825
Bac029	dde2	avrRpm1	flatavrRpm1a1	potavrRpm1a04	4.326979093
Bac029	dde2	avrRpm1	flatavrRpm1a1	potavrRpm1a06	4.192280519
Bac029	dde2	avrRpm1	flatavrRpm1a1	potavrRpm1a06	4.694955878
Bac029	dde2	avrRpm1	flatavrRpm1a1	potavrRpm1a08	4.929039084
Bac029	dde2	avrRpm1	flatavrRpm1a1	potavrRpm1a08	4.247797847
Bac029	ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a02	4.531099076
Bac029	ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a02	3.995985874
Bac029	ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a04	3.540053918
Bac029	ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a04	4.08030676
Bac029	ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a06	4.23006908
Bac029	ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a06	4.150887834
Bac029	ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a08	3.849857838
Bac029	ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a08	4.128611439
Bac029	pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a01	3.929039084
Bac029	pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a01	3.929039084
Bac029	pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a03	4.406160339
Bac029	pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a03	4.368371778
Bac029	pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a05	4.355007816
Bac029	pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a05	4.752947825
Bac029	pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a07	5.08030676
Bac029	pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a07	5.105130343
Bac029	sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a01	4.804100348
Bac029	sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a01	4.891250523
Bac029	sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a03	4.368371778
Bac029	sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a03	4.605732694
Bac029	sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a05	5.025949097
Bac029	sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a05	4.628009089
Bac029	sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a07	4.598045865
Bac029	sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a07	5.628009089
Bac029	dde2/ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a02	4.752947825
Bac029	dde2/ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a02	4.929039084
Bac029	dde2/ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a04	4.341219532
Bac029	dde2/ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a04	4.849857838
Bac029	dde2/ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a06	5.025949097
Bac029	dde2/ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a06	4.929039084
Bac029	dde2/ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a08	4.694955878
Bac029	dde2/ein2	avrRpm1	flatavrRpm1a1	potavrRpm1a08	4.62070985
Bac029	dde2/pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a01	4.493310515
Bac029	dde2/pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a01	4.804100348
Bac029	dde2/pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a03	5.150887834
Bac029	dde2/pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a03	5.08030676
Bac029	dde2/pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a05	5.656037812
Bac029	dde2/pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a05	5.451917829
Bac029	dde2/pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a07	5.605732694
Bac029	dde2/pad4	avrRpm1	flatavrRpm1a1	potavrRpm1a07	5.247797847
Bac029	dde2/sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a01	4.891250523
Bac029	dde2/sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a01	4.891250523
Bac029	dde2/sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a03	3.694955878
Bac029	dde2/sid2	avrRpm1	flatavrRpm1a1	potavrRpm1a03	4.804100348
