replicate	genotype	treatment	flat	pot	colony
Bac031	_Col	avrRpt2	flatavrRpt2a1	potavrRpt2a02	3.381336755
Bac031	_Col	avrRpt2	flatavrRpt2a1	potavrRpt2a02	3.752947825
Bac031	_Col	avrRpt2	flatavrRpt2a1	potavrRpt2a04	3.211585674
Bac031	_Col	avrRpt2	flatavrRpt2a1	potavrRpt2a04	3.462641695
Bac031	_Col	avrRpt2	flatavrRpt2a1	potavrRpt2a06	4.605732694
Bac031	_Col	avrRpt2	flatavrRpt2a1	potavrRpt2a06	4.08030676
Bac031	_Col	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.192280519
Bac031	_Col	avrRpt2	flatavrRpt2a2	potavrRpt2a08	3.96380119
Bac031	dde2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	3.211585674
Bac031	dde2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	4.053977821
Bac031	dde2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	3.548827842
Bac031	dde2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	4.053977821
Bac031	dde2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	3.462641695
Bac031	dde2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.08030676
Bac031	dde2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	4.192280519
Bac031	dde2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	4.929039084
Bac031	ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	4.281221602
Bac031	ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	3.381336755
Bac031	ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	2.548827842
Bac031	ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	3.355007816
Bac031	ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.014210694
Bac031	ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	3.440922445
Bac031	ein2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	4.128611439
Bac031	ein2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	3.628009089
Bac031	pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a01	4.752947825
Bac031	pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a01	4.724919102
Bac031	pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a03	4.128611439
Bac031	pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a03	3.381336755
Bac031	pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a05	3.565861182
Bac031	pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a05	3.845493033
Bac031	pad4	avrRpt2	flatavrRpt2a2	potavrRpt2a07	3.813645665
Bac031	pad4	avrRpt2	flatavrRpt2a2	potavrRpt2a07	3.656037812
Bac031	sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.192280519
Bac031	sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.247797847
Bac031	sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.105130343
Bac031	sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.613285832
Bac031	sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	3.574133708
Bac031	sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	3.789377091
Bac031	sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	3.548827842
Bac031	sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.649198388
Bac031	dde2/ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.264831186
Bac031	dde2/ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.247797847
Bac031	dde2/ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.105130343
Bac031	dde2/ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.172077133
Bac031	dde2/ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	3.355007816
Bac031	dde2/ein2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	3.891250523
Bac031	dde2/ein2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.891250523
Bac031	dde2/ein2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.849857838
Bac031	dde2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.462641695
Bac031	dde2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.995985874
Bac031	dde2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a04	5.025949097
Bac031	dde2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a04	5.192280519
Bac031	dde2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a06	4.694955878
Bac031	dde2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a06	5.429641435
Bac031	dde2/pad4	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.891250523
Bac031	dde2/pad4	avrRpt2	flatavrRpt2a2	potavrRpt2a08	5.628009089
Bac031	dde2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.995985874
Bac031	dde2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.503070352
Bac031	dde2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.995985874
Bac031	dde2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.393925883
Bac031	dde2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	4.473107129
Bac031	dde2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	4.247797847
Bac031	dde2/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.493310515
Bac031	dde2/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.995985874
Bac031	ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.150887834
Bac031	ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a02	3.429641435
Bac031	ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.105130343
Bac031	ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.774137124
Bac031	ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a06	3.96380119
Bac031	ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a06	4.548827842
Bac031	ein2/pad4	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.804100348
Bac031	ein2/pad4	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.605732694
Bac031	ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	6.025949097
Bac031	ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	5.752947825
Bac031	ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	4.128611439
Bac031	ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	3.995985874
Bac031	ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.150887834
Bac031	ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.503070352
Bac031	ein2/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	4.804100348
Bac031	ein2/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	4.891250523
Bac031	pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	5.172077133
Bac031	pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	5.51261567
Bac031	pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	5.192280519
Bac031	pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	5.598045865
Bac031	pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.891250523
Bac031	pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.752947825
Bac031	pad4/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	5.995985874
Bac031	pad4/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	5.418059562
Bac031	dde2/ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a01	5.440922445
Bac031	dde2/ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a01	5.312255836
Bac031	dde2/ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a03	5.08030676
Bac031	dde2/ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a03	4.995985874
Bac031	dde2/ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.995985874
Bac031	dde2/ein2/pad4	avrRpt2	flatavrRpt2a1	potavrRpt2a05	5.605732694
Bac031	dde2/ein2/pad4	avrRpt2	flatavrRpt2a2	potavrRpt2a07	5.628009089
Bac031	dde2/ein2/pad4	avrRpt2	flatavrRpt2a2	potavrRpt2a07	5.96380119
Bac031	dde2/ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	4.51261567
Bac031	dde2/ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a01	5.312255836
Bac031	dde2/ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	4.451917829
Bac031	dde2/ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a03	4.582251598
Bac031	dde2/ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.804100348
Bac031	dde2/ein2/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a05	4.08030676
Bac031	dde2/ein2/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	5.503070352
Bac031	dde2/ein2/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a07	5.694955878
Bac031	dde2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	5.995985874
Bac031	dde2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	5.462641695
Bac031	dde2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.557428014
Bac031	dde2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	5.025949097
Bac031	dde2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	5.381336755
Bac031	dde2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	5.929039084
Bac031	dde2/pad4/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	5.565861182
Bac031	dde2/pad4/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	4.493310515
Bac031	ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	4.713180698
Bac031	ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	5.211585674
Bac031	ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	4.628009089
Bac031	ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	3.849857838
Bac031	ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	4.995985874
Bac031	ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a06	5.08030676
Bac031	ein2/pad4/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	5.172077133
Bac031	ein2/pad4/sid2	avrRpt2	flatavrRpt2a2	potavrRpt2a08	5.355007816
Bac031	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	6.590220528
Bac031	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a02	6.437568803
Bac031	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	6.341219532
Bac031	dde2/ein2/pad4/sid2	avrRpt2	flatavrRpt2a1	potavrRpt2a04	6.264831186
