replicate	flat	pot	genotype	treatment	colony
Bac038	flat01	line001	_Col	_mock	6.128611439
Bac038	flat01	line001	_Col	_mock	7.574133708
Bac038	flat01	line003	_Col	_mock	5.849857838
Bac038	flat01	line003	_Col	_mock	5.891250523
Bac038	flat02	line005	_Col	_mock	6.483326294
Bac038	flat02	line005	_Col	_mock	5.752947825
Bac038	flat02	line007	_Col	_mock	6.565861182
Bac038	flat02	line007	_Col	_mock	6.451917829
Bac038	flat01	line001	dde2	_mock	6.628009089
Bac038	flat01	line001	dde2	_mock	6.694955878
Bac038	flat01	line003	dde2	_mock	6.628009089
Bac038	flat01	line003	dde2	_mock	6.172077133
Bac038	flat02	line005	dde2	_mock	6.565861182
Bac038	flat02	line005	dde2	_mock	6.590220528
Bac038	flat02	line007	dde2	_mock	6.393925883
Bac038	flat02	line007	dde2	_mock	6.440922445
Bac038	flat01	line001	ein2	_mock	6.628009089
Bac038	flat01	line001	ein2	_mock	6.694955878
Bac038	flat01	line003	ein2	_mock	6.297015869
Bac038	flat01	line003	ein2	_mock	5.995985874
Bac038	flat02	line005	ein2	_mock	6.694955878
Bac038	flat02	line005	ein2	_mock	6.128611439
Bac038	flat02	line007	ein2	_mock	6.440922445
Bac038	flat02	line007	ein2	_mock	6.804100348
Bac038	flat01	line001	pad4	_mock	7.381336755
Bac038	flat01	line001	pad4	_mock	7.150887834
Bac038	flat01	line003	pad4	_mock	6.96380119
Bac038	flat01	line003	pad4	_mock	6.804100348
Bac038	flat02	line005	pad4	_mock	7.08030676
Bac038	flat02	line005	pad4	_mock	6.80889923
Bac038	flat02	line007	pad4	_mock	6.557428014
Bac038	flat02	line007	pad4	_mock	6.849857838
Bac038	flat01	line001	sid2	_mock	6.995985874
Bac038	flat01	line001	sid2	_mock	7.105130343
Bac038	flat01	line003	sid2	_mock	6.613285832
Bac038	flat01	line003	sid2	_mock	6.462641695
Bac038	flat02	line005	sid2	_mock	7.053977821
Bac038	flat02	line005	sid2	_mock	6.582251598
Bac038	flat02	line007	sid2	_mock	6.682366751
Bac038	flat02	line007	sid2	_mock	6.694955878
Bac038	flat01	line001	dde2/ein2	_mock	6.694955878
Bac038	flat01	line001	dde2/ein2	_mock	6.694955878
Bac038	flat01	line003	dde2/ein2	_mock	6.23006908
Bac038	flat01	line003	dde2/ein2	_mock	6.264831186
Bac038	flat02	line005	dde2/ein2	_mock	7.128611439
Bac038	flat02	line005	dde2/ein2	_mock	6.995985874
Bac038	flat02	line007	dde2/ein2	_mock	6.264831186
