replicate	flat	pot	pipet	genotype	treatment	colony
Bac018	Bac018flat01	Bac018pot002	Bac018pipet014	_Col	_mock	6.281221602
Bac018	Bac018flat01	Bac018pot002	Bac018pipet014	_Col	_mock	6.355007816
Bac018	Bac018flat01	Bac018pot004	Bac018pipet014	_Col	_mock	6.326979093
Bac018	Bac018flat01	Bac018pot004	Bac018pipet014	_Col	_mock	6.211585674
Bac018	Bac018flat02	Bac018pot006	Bac018pipet014	_Col	_mock	6.440922445
Bac018	Bac018flat02	Bac018pot006	Bac018pipet014	_Col	_mock	6.752947825
Bac018	Bac018flat02	Bac018pot008	Bac018pipet028	_Col	_mock	6.62070985
Bac018	Bac018flat02	Bac018pot008	Bac018pipet028	_Col	_mock	6.281221602
Bac018	Bac018flat02	Bac018pot010	Bac018pipet028	_Col	_mock	6.540053918
Bac018	Bac018flat02	Bac018pot010	Bac018pipet028	_Col	_mock	6.368371778
Bac018	Bac018flat02	Bac018pot012	Bac018pipet028	_Col	_mock	6.326979093
Bac018	Bac018flat02	Bac018pot012	Bac018pipet028	_Col	_mock	6.451917829
Bac018	Bac018flat01	Bac018pot002	Bac018pipet010	_Col	flg22	2.150887834
Bac018	Bac018flat01	Bac018pot002	Bac018pipet010	_Col	flg22	2.628009089
Bac018	Bac018flat01	Bac018pot004	Bac018pipet010	_Col	flg22	4.96380119
Bac018	Bac018flat01	Bac018pot004	Bac018pipet010	_Col	flg22	2.326979093
Bac018	Bac018flat02	Bac018pot006	Bac018pipet010	_Col	flg22	2.451917829
Bac018	Bac018flat02	Bac018pot006	Bac018pipet010	_Col	flg22	2.326979093
Bac018	Bac018flat02	Bac018pot008	Bac018pipet024	_Col	flg22	3.451917829
Bac018	Bac018flat02	Bac018pot008	Bac018pipet024	_Col	flg22	2.548827842
Bac018	Bac018flat02	Bac018pot010	Bac018pipet024	_Col	flg22	3.150887834
Bac018	Bac018flat02	Bac018pot010	Bac018pipet024	_Col	flg22	2.326979093
Bac018	Bac018flat02	Bac018pot012	Bac018pipet024	_Col	flg22	2.451917829
Bac018	Bac018flat02	Bac018pot012	Bac018pipet024	_Col	flg22	3.326979093
Bac018	Bac018flat01	Bac018pot001	Bac018pipet002	dde2	_mock	6.531099076
Bac018	Bac018flat01	Bac018pot001	Bac018pipet002	dde2	_mock	5.929039084
Bac018	Bac018flat01	Bac018pot003	Bac018pipet002	dde2	_mock	6.355007816
Bac018	Bac018flat01	Bac018pot003	Bac018pipet002	dde2	_mock	6.23006908
Bac018	Bac018flat02	Bac018pot005	Bac018pipet002	dde2	_mock	5.281221602
Bac018	Bac018flat02	Bac018pot005	Bac018pipet002	dde2	_mock	6.598045865
Bac018	Bac018flat02	Bac018pot007	Bac018pipet016	dde2	_mock	6.406160339
Bac018	Bac018flat02	Bac018pot007	Bac018pipet016	dde2	_mock	6.483326294
Bac018	Bac018flat02	Bac018pot009	Bac018pipet016	dde2	_mock	6.899075861
Bac018	Bac018flat02	Bac018pot009	Bac018pipet016	dde2	_mock	6.694955878
Bac018	Bac018flat02	Bac018pot011	Bac018pipet016	dde2	_mock	6.406160339
Bac018	Bac018flat02	Bac018pot011	Bac018pipet016	dde2	_mock	6.995985874
Bac018	Bac018flat01	Bac018pot001	Bac018pipet004	dde2	flg22	3.281221602
Bac018	Bac018flat01	Bac018pot001	Bac018pipet004	dde2	flg22	1.849857838
Bac018	Bac018flat01	Bac018pot003	Bac018pipet004	dde2	flg22	4.548827842
Bac018	Bac018flat01	Bac018pot003	Bac018pipet004	dde2	flg22	2.451917829
Bac018	Bac018flat02	Bac018pot005	Bac018pipet004	dde2	flg22	3.08030676
Bac018	Bac018flat02	Bac018pot005	Bac018pipet004	dde2	flg22	4.025949097
Bac018	Bac018flat02	Bac018pot007	Bac018pipet018	dde2	flg22	1.849857838
Bac018	Bac018flat02	Bac018pot007	Bac018pipet018	dde2	flg22	2.548827842
Bac018	Bac018flat02	Bac018pot009	Bac018pipet018	dde2	flg22	2.150887834
Bac018	Bac018flat02	Bac018pot009	Bac018pipet018	dde2	flg22	1.849857838
Bac018	Bac018flat02	Bac018pot011	Bac018pipet018	dde2	flg22	3.451917829
Bac018	Bac018flat02	Bac018pot011	Bac018pipet018	dde2	flg22	2.804100348
Bac018	Bac018flat01	Bac018pot002	Bac018pipet013	dde2/ein2/pad4/sid2	_mock	7.025949097
Bac018	Bac018flat01	Bac018pot002	Bac018pipet013	dde2/ein2/pad4/sid2	_mock	7.540053918
Bac018	Bac018flat01	Bac018pot004	Bac018pipet013	dde2/ein2/pad4/sid2	_mock	7.649198388
Bac018	Bac018flat01	Bac018pot004	Bac018pipet013	dde2/ein2/pad4/sid2	_mock	7.150887834
Bac018	Bac018flat02	Bac018pot006	Bac018pipet013	dde2/ein2/pad4/sid2	_mock	7.150887834
Bac018	Bac018flat02	Bac018pot006	Bac018pipet013	dde2/ein2/pad4/sid2	_mock	7.473107129
Bac018	Bac018flat02	Bac018pot008	Bac018pipet027	dde2/ein2/pad4/sid2	_mock	7.741952441
Bac018	Bac018flat02	Bac018pot008	Bac018pipet027	dde2/ein2/pad4/sid2	_mock	7.503070352
Bac018	Bac018flat02	Bac018pot010	Bac018pipet027	dde2/ein2/pad4/sid2	_mock	7.247797847
Bac018	Bac018flat02	Bac018pot010	Bac018pipet027	dde2/ein2/pad4/sid2	_mock	7.393925883
Bac018	Bac018flat02	Bac018pot012	Bac018pipet027	dde2/ein2/pad4/sid2	_mock	7.312255836
Bac018	Bac018flat02	Bac018pot012	Bac018pipet027	dde2/ein2/pad4/sid2	_mock	7.473107129
Bac018	Bac018flat01	Bac018pot001	Bac018pipet007	dde2/ein2/pad4/sid2	flg22	6.675932641
Bac018	Bac018flat01	Bac018pot001	Bac018pipet007	dde2/ein2/pad4/sid2	flg22	6.613285832
Bac018	Bac018flat01	Bac018pot003	Bac018pipet007	dde2/ein2/pad4/sid2	flg22	6.440922445
Bac018	Bac018flat01	Bac018pot003	Bac018pipet007	dde2/ein2/pad4/sid2	flg22	6.669401774
Bac018	Bac018flat02	Bac018pot005	Bac018pipet007	dde2/ein2/pad4/sid2	flg22	6.503070352
Bac018	Bac018flat02	Bac018pot005	Bac018pipet007	dde2/ein2/pad4/sid2	flg22	6.73067143
Bac018	Bac018flat02	Bac018pot007	Bac018pipet021	dde2/ein2/pad4/sid2	flg22	6.440922445
Bac018	Bac018flat02	Bac018pot007	Bac018pipet021	dde2/ein2/pad4/sid2	flg22	6.406160339
Bac018	Bac018flat02	Bac018pot009	Bac018pipet021	dde2/ein2/pad4/sid2	flg22	6.418059562
Bac018	Bac018flat02	Bac018pot009	Bac018pipet021	dde2/ein2/pad4/sid2	flg22	6.440922445
Bac018	Bac018flat02	Bac018pot011	Bac018pipet021	dde2/ein2/pad4/sid2	flg22	6.429641435
Bac018	Bac018flat02	Bac018pot011	Bac018pipet021	dde2/ein2/pad4/sid2	flg22	6.393925883
Bac018	Bac018flat01	Bac018pot001	Bac018pipet001	fls2	_mock	6.281221602
Bac018	Bac018flat01	Bac018pot001	Bac018pipet001	fls2	_mock	6.51261567
Bac018	Bac018flat01	Bac018pot003	Bac018pipet001	fls2	_mock	6.628009089
Bac018	Bac018flat01	Bac018pot003	Bac018pipet001	fls2	_mock	6.531099076
Bac018	Bac018flat02	Bac018pot005	Bac018pipet001	fls2	_mock	6.605732694
Bac018	Bac018flat02	Bac018pot005	Bac018pipet001	fls2	_mock	6.752947825
Bac018	Bac018flat02	Bac018pot007	Bac018pipet015	fls2	_mock	6.381336755
Bac018	Bac018flat02	Bac018pot007	Bac018pipet015	fls2	_mock	6.531099076
Bac018	Bac018flat02	Bac018pot009	Bac018pipet015	fls2	_mock	6.682366751
Bac018	Bac018flat02	Bac018pot009	Bac018pipet015	fls2	_mock	6.297015869
Bac018	Bac018flat02	Bac018pot011	Bac018pipet015	fls2	_mock	6.694955878
Bac018	Bac018flat02	Bac018pot011	Bac018pipet015	fls2	_mock	6.440922445
Bac018	Bac018flat01	Bac018pot001	Bac018pipet008	fls2	flg22	6.605732694
Bac018	Bac018flat01	Bac018pot001	Bac018pipet008	fls2	flg22	6.736348563
Bac018	Bac018flat01	Bac018pot003	Bac018pipet008	fls2	flg22	6.105130343
Bac018	Bac018flat01	Bac018pot003	Bac018pipet008	fls2	flg22	6.08030676
Bac018	Bac018flat02	Bac018pot005	Bac018pipet008	fls2	flg22	5.548827842
Bac018	Bac018flat02	Bac018pot005	Bac018pipet008	fls2	flg22	6.747484929
Bac018	Bac018flat02	Bac018pot007	Bac018pipet022	fls2	flg22	6.598045865
Bac018	Bac018flat02	Bac018pot007	Bac018pipet022	fls2	flg22	6.669401774
Bac018	Bac018flat02	Bac018pot009	Bac018pipet022	fls2	flg22	6.341219532
Bac018	Bac018flat02	Bac018pot009	Bac018pipet022	fls2	flg22	6.675932641
Bac018	Bac018flat02	Bac018pot011	Bac018pipet022	fls2	flg22	6.531099076
Bac018	Bac018flat02	Bac018pot011	Bac018pipet022	fls2	flg22	7.005193876
Bac018	Bac018flat01	Bac018pot001	Bac018pipet003	ein2	_mock	6.628009089
Bac018	Bac018flat01	Bac018pot001	Bac018pipet003	ein2	_mock	6.105130343
Bac018	Bac018flat01	Bac018pot003	Bac018pipet003	ein2	_mock	6.326979093
Bac018	Bac018flat01	Bac018pot003	Bac018pipet003	ein2	_mock	6.418059562
Bac018	Bac018flat02	Bac018pot005	Bac018pipet003	ein2	_mock	6.128611439
Bac018	Bac018flat02	Bac018pot005	Bac018pipet003	ein2	_mock	6.483326294
