Contribution	Value	Std.Error	DF	t.value	p.value
m.A	-0.298717116126322	0.0400579832219185	1296	-7.45711820965747	1.61271478429551e-13
m.B	0.00522354511875626	0.0408448353100947	1296	0.127887530433138	0.898257819888538
m.C	-0.5983378194235	0.0414832160057993	1296	-14.4236121746167	7.53178800360671e-44
m.D	-0.549403663677767	0.0402172492414386	1296	-13.6608961090178	8.58965947600197e-40
m.remainder	-0.586093001625429	0.0712872015187911	1296	-8.22157398717548	4.82833878730906e-16
genotypeabcd	7.0304304463956	0.0961981458116121	1296	73.0828061921642	0
genotypeabcD	6.84197645744128	0.100303287749823	1296	68.2128832556974	0
genotypeabCd	6.54385958807033	0.100322654624015	1296	65.2281342892601	0
genotypeabCD	6.28798609306935	0.100574178644257	1296	62.5208793930173	0
genotypeaBcd	6.55700763390926	0.100389047545884	1296	65.3159661756157	0
genotypeaBcD	6.74837475461076	0.100562153818733	1296	67.106505761352	0
genotypeaBCd	6.50742033823991	0.100512708281108	1296	64.7422644312834	0
genotypeaBCD	6.28859754599373	0.100534935391336	1296	62.5513660650908	0
genotypeAbcd	6.67171502053803	0.100306928285603	1296	66.5130029856134	0
genotypeAbcD	6.50586235966442	0.100409428514362	1296	64.7933411824354	0
genotypeAbCd	6.64158362978992	0.100656408463178	1296	65.9827201386739	0
genotypeAbCD	6.28051908442875	0.10060740188172	1296	62.4260140602033	0
genotypeABcd	6.76284025908116	0.100559343354746	1296	67.2522317018685	0
genotypeABcD	6.26532695979519	0.100366397063858	1296	62.4245478873658	0
genotypeABCd	6.46288682506556	0.10032969373745	1296	64.4164911135691	0
genotypeABCD	6.27919010358538	0.0961928500542038	1296	65.2770980384416	0
