Contribution	Value	Std.Error	DF	t.value	p.value
m.A	-0.539721177431345	0.106341716860766	1285	-5.07534759983239	4.43654411380808e-07
m.B	-0.486346841091772	0.105796329051454	1285	-4.59701055275027	4.70818645327411e-06
m.C	-1.24605039559099	0.108392456019295	1285	-11.4957298815075	3.50423363111267e-29
m.D	-0.793717244601433	0.10778657062798	1285	-7.36378604474681	3.18312779259911e-13
m.A:B	0.749377665971647	0.15712990233337	1285	4.76916013338919	2.0611558035331e-06
m.A:C	0.82975443790562	0.157212257833981	1285	5.27792456731876	1.53232627731046e-07
m.A:D	-0.0554863055735382	0.156522339612244	1285	-0.354494481177546	0.723026504181995
m.B:C	0.893437030390287	0.158504800716012	1285	5.63665596470501	2.12890775685181e-08
m.B:D	0.711943164617462	0.157404383298544	1285	4.5230199419996	6.65932644193124e-06
m.C:D	0.782608586810418	0.162254194807052	1285	4.82334886775083	1.58036018789191e-06
m.A:B:C	0.267999813124171	0.12688410888254	1285	2.1121621571403	0.0348650794677501
m.A:B:D	0.0560289863171601	0.126357165859049	1285	0.443417561135078	0.657538381028092
m.A:C:D	0.499329900326179	0.124839568289352	1285	3.99977272565407	6.70178893615223e-05
m.B:C:D	0.430009505086425	0.124793416621426	1285	3.44577075240197	0.000587799638933709
m.A:B:C:D	0.514237462640291	0.12639227693146	1285	4.06858294766817	5.01809467855362e-05
m.remainder	-0.496062295708331	0.0735705915982361	1285	-6.74267101748065	2.34336871440233e-11
genotypeabcd	6.98490524447378	0.093928318185383	1285	74.3642107025479	0
genotypeabcD	6.91864984765817	0.106642513943433	1285	64.8770325437757	0
genotypeabCd	6.82225678571278	0.106668975253754	1285	63.9572731385425	0
genotypeabCD	6.29727947968863	0.106679228184888	1285	59.0300434942655	0
genotypeaBcd	6.75725010396386	0.106134587229293	1285	63.6668053305329	0
genotypeaBcD	6.71490591608558	0.106930929151812	1285	62.7966666833342	0
genotypeaBCd	6.58490359590906	0.106687356322083	1285	61.7214993689562	0
genotypeaBCD	6.32203685908298	0.107298546675852	1285	58.9200604755793	0
genotypeAbcd	6.74669863794349	0.106125130861936	1285	63.5730536504181	0
genotypeAbcD	6.73074592031844	0.106125130861935	1285	63.4227337639271	0
genotypeAbCd	6.62570865385797	0.107298546675852	1285	61.7502180516402	0
genotypeAbCD	6.29253371455796	0.107298546675852	1285	58.6450973429085	0
genotypeABcd	6.70895524960817	0.106642513943433	1285	62.9107004469796	0
genotypeABcD	6.4460698726268	0.106930929151812	1285	60.2825573831421	0
genotypeABCd	6.56149586630905	0.106687356322083	1285	61.5020944609432	0
genotypeABCD	6.30621940414302	0.0939229843621786	1285	67.1424513069715	0
