Contribution	Value	Std.Error	DF	t.value	p.value
m.A	-0.104888928584718	0.112634980423227	1045	-0.931228719449293	0.351950345823705
m.B	-0.285645178429965	0.111912081721934	1045	-2.55240697907578	0.0108394349655971
m.C	-0.33622709064493	0.116210411587561	1045	-2.89326133563852	0.00389179073041345
m.D	-0.0839555218734738	0.115315675113127	1045	-0.728049519643466	0.466746372306862
m.A:B	-0.106316130191149	0.109476069982285	1045	-0.971135794410169	0.331705383209881
m.A:C	-0.0478955709097309	0.107165623019151	1045	-0.446930364051275	0.655017949432844
m.A:D	-0.439997496605633	0.106538968944726	1045	-4.12992073195218	3.91849467235729e-05
m.B:C	0.0474049487612165	0.107572805783153	1045	0.440677812725049	0.659537405788357
m.B:D	-0.0212513503738248	0.106867100250374	1045	-0.198857743159831	0.842412707356765
m.C:D	0.303318328028217	0.110352544870227	1045	2.74863011437495	0.00608759269638298
m.A:B:C	-0.135469925093162	0.101394721310458	1045	-1.3360648694755	0.181818940492234
m.A:B:D	-0.240138029567478	0.101193719380104	1045	-2.37305270562762	0.0178218705919958
m.A:C:D	-0.147167627486133	0.101178188779127	1045	-1.45453905888157	0.146097199267537
m.B:C:D	-0.20421594423866	0.103090430671708	1045	-1.98093986908433	0.0478598535244079
m.A:B:C:D	-0.126952001252289	0.0864698220395984	1045	-1.46816540450554	0.142360222485617
m.remainder	-1.88558413844903	0.0703633220424584	1045	-26.7978271024673	7.80273214544253e-121
genotypeabcd	7.11555904992613	0.0934162734531056	1045	76.1704442588163	0
genotypeabcD	7.03636155170716	0.103654778413569	1045	67.882654899256	0
genotypeabCd	6.94015781770232	0.103676781842325	1045	66.9403283394455	0
genotypeabCD	6.41576905795398	0.103681155360434	1045	61.8797990401476	0
genotypeaBcd	6.87636632967923	0.103262734494978	1045	66.5909765348473	0
genotypeaBcD	6.83248141793738	0.103876417443862	1045	65.7750968513124	0
genotypeaBCd	6.70320384623385	0.103688988005488	1045	64.6472106168021	0
genotypeaBCD	6.43912191568196	0.104170437571026	1045	61.8133327057557	0
genotypeAbcd	6.8660041915994	0.103253767404488	1045	66.4964036101698	0
genotypeAbcD	6.85005147397436	0.103253767404487	1045	66.3419035078877	0
genotypeAbCd	6.74279371045694	0.104170437571025	1045	64.7284764054061	0
genotypeAbCD	6.40961877115694	0.104170437571025	1045	61.5301127710704	0
genotypeABcd	6.82666695365718	0.103654778413569	1045	65.8596454320673	0
genotypeABcD	6.5636903497582	0.103876417443861	1045	63.1874925153774	0
genotypeABCd	6.67979611663383	0.103688988005488	1045	64.4214611900764	0
genotypeABCD	6.43697839178456	0.0934112024839809	1045	68.9101330527079	0
