Contribution	Value	Std.Error	DF	t.value	p.value
m.A	-0.53972118507798	0.106341717122525	1285	-5.07534765924575	4.43654275478585e-07
m.B	-0.486346843070498	0.105796329384263	1285	-4.59701055699238	4.7081863590082e-06
m.C	-1.24605039290914	0.108392455974486	1285	-11.4957298615177	3.50423436671828e-29
m.D	-0.793717236251691	0.107786570671175	1285	-7.36378596433028	3.18312963340882e-13
m.A:B	0.236343669872568	0.10087545139454	1285	2.34292552454799	0.0192850811953805
m.A:C	-0.0631313488087951	0.101385352928416	1285	-0.622687074466954	0.533600662174702
m.A:D	-0.722205524588139	0.0991315317045125	1285	-7.28532599234784	5.58136706568621e-13
m.B:C	0.0272384043511227	0.101501875513535	1285	0.268353704927259	0.788470143804462
m.B:D	0.0719111180160672	0.101203827663734	1285	0.710557294878246	0.477487552456829
m.C:D	-0.237275251815725	0.103093004131237	1285	-2.30156501709539	0.021519069918223
m.A:B:C	-0.489372998366119	0.0941793133823793	1285	-5.19618354382354	2.36371207638117e-07
m.A:B:D	-0.550566105230227	0.0948588394856736	1285	-5.80405693571002	8.14503199125103e-09
m.A:C:D	-0.360499700451852	0.0941141841472147	1285	-3.83045025272656	0.000134080229465982
m.B:C:D	-0.412028651050763	0.0950072707458155	1285	-4.33681178099636	1.55868194905165e-05
m.A:B:C:D	-0.252221451059448	0.083616146393535	1285	-3.01642041565012	0.00260804433492175
m.remainder	-0.496062298181799	0.073570591798927	1285	-6.74267103270785	2.34336847712457e-11
genotypeabcd	6.98490523174504	0.0939283191600021	1285	74.3642097954145	0
genotypeabcD	6.91864982948266	0.106642514855744	1285	64.8770318183286	0
genotypeabCd	6.82225676997328	0.106668976158665	1285	63.9572724484154	0
genotypeabCD	6.29727947108697	0.106679229081228	1285	59.0300429176522	0
genotypeaBcd	6.75725009196987	0.106134588202838	1285	63.6668046335267	0
genotypeaBcD	6.71490590163307	0.10693093001693	1285	62.7966660401243	0
genotypeaBCd	6.58490358487138	0.10668735721604	1285	61.72149874832	0
genotypeaBCD	6.3220368442998	0.107298547477344	1285	58.9200598976859	0
genotypeAbcd	6.74669862838552	0.106125131838453	1285	63.5730529753834	0
genotypeAbcD	6.73074591076047	0.106125131838452	1285	63.4227330902756	0
genotypeAbCd	6.62570863907479	0.107298547477344	1285	61.7502174526064	0
genotypeAbCD	6.29253369977479	0.107298547477344	1285	58.6450967670691	0
genotypeABcd	6.70895523143268	0.106642514855744	1285	62.9106997383541	0
genotypeABcD	6.44606985882244	0.10693093001693	1285	60.2825567663339	0
genotypeABCd	6.56149585527139	0.10668735721604	1285	61.5020938421454	0
genotypeABCD	6.30621939276763	0.0939229853384746	1285	67.1424504879356	0
