Contribution	Value	Std.Error	DF	t.value	p.value
m.B	-0.137774434750141	0.123531191773106	970	-1.11530078171022	0.264997783685378
m.C	-0.296263528593785	0.123531191773108	970	-2.39828924453298	0.0166599097064375
m.D	-0.12033678979703	0.123531191773107	970	-0.974140928050424	0.330229431954836
m.B:C	0.00990902503112015	0.106981150235279	970	0.0926240277780497	0.926221380332336
m.B:D	0.0540858468985276	0.106981150235278	970	0.505564267906817	0.613277429573551
m.C:D	-1.0865663624453	0.106981150235278	970	-10.1566150677542	4.22243009419933e-23
m.B:C:D	-0.261347105614566	0.100862795720669	970	-2.59111502657872	0.00971020152614173
m.remainder	-0.69527511596865	0.104136525021331	24	-6.67657304510814	6.61708830761518e-07
genotypeabcd	7.13914837370317	0.102642597588779	970	69.5534655339204	0
genotypeabcD	6.92985248811723	0.102642597588778	970	67.5143912070563	0
genotypeabCd	6.8958338898281	0.102642597588778	970	67.1829635241231	0
genotypeabCD	6.49726650536722	0.102642597588778	970	63.2999033344568	0
genotypeaBcd	6.90421812232814	0.102642597588778	970	67.2646472762589	0
genotypeaBcD	6.91299727974998	0.102642597588778	970	67.3501786017329	0
genotypeaBCd	6.73616810036722	0.102642597588778	970	65.6274125812232	0
genotypeaBCD	6.38521493606247	0.102642597588778	970	62.2082360156538	0
genotypeAbcd	7.06104000714061	0.102642597588778	970	68.7924913536348	0
genotypeAbcD	6.98820087675778	0.102642597588778	970	68.082852937481	0
genotypeAbCd	6.47259742114063	0.102642597588778	970	63.0595637015356	0
genotypeAbCD	6.4190380811953	0.102642597588778	970	62.5377594876565	0
genotypeABcd	7.0222541292031	0.102642597588778	970	68.414618240048	0
genotypeABcD	6.85484098374997	0.102642597588778	970	66.7835883422677	0
genotypeABCd	6.72029470972656	0.102642597588778	970	65.4727653780783	0
genotypeABCD	6.53538489159373	0.102642597588778	970	63.6712733808315	0
